Compiling plugins/InitialSignalGenerator.py ...
wrote trader.html
wrote trader_cli.html
wrote test_trader.html
wrote plugins.html
wrote test_plugins.html
Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,2013-03-01,10:00:00.055000,TRADE,24.000,700,0,16800.0,,0,6239925029627405664,6239925029627346974,,,,,140,119
BHP,2013-03-01,10:00:00.055000,TRADE,24.000,100,0,2400.0,,0,6239925029627405717,6239925029627346974,,,,,140,119
BHP,2013-03-01,10:00:00.055000,TRADE,24.000,442,0,10608.0,,0,6239925029627405717,6239925029627346975,,,,,140,203
BHP,2013-03-01,10:00:00.055000,TRADE,24.000,158,0,3792.0,,0,6239925029627396712,6239925029627346975,,,,,140,203
BHP,2013-03-01,10:00:00.055000,TRADE,24.000,300,0,7200.0,,0,6239925029627396712,6239925029627346976,,,,,140,366
BHP,2013-03-01,10:00:00.055000,TRADE,24.000,300,0,7200.0,,0,6239925029627396712,6239925029627346977,,,,,140,923
BHP,2013-03-01,10:00:00.055000,TRADE,30.000,42,0,1260.0,,0,6239925029627396712,6239925029627346978,,,,,140,119
BHP,2013-03-01,10:00:00.055000,TRADE,30.000,458,0,13740.0,BL ,0,6239925029627405538,6239925029627346978,,,,,311,119
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,1542,0,52196.700000000004,BL ,0,6239925029627405538,6239925029627402121,,,,,311,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,108,0,3655.8,,0,6239925029627390237,6239925029627402121,,,,,157,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,1000,0,33850.0,,0,6239925029627347083,6239925029627402121,,,,,366,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,800,0,27080.0,,0,6239925029627388491,6239925029627402121,,,,,217,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,91,,3080.35,,0,6239925029627389586,6239925029627402121,,09:39:46,38.400,91,210,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,58,,1963.3000000000002,,0,6239925029627386946,6239925029627402121,,09:00:00,38.400,58,210,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,201,,6803.85,,0,6239925029627391753,6239925029627402121,,09:51:15,36.670,201,140,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,657,0,22239.45,,0,6239925029627387447,6239925029627402121,,,,,140,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,570,,19294.5,,0,6239925029627390145,6239925029627402121,,09:43:21,38.150,700,406,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,84,0,2843.4,,0,6239925029627344477,6239925029627402121,,,,,231,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,27,0,913.95,,0,6239925029627344490,6239925029627402121,,,,,231,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,46,0,1557.1000000000001,,0,6239925029627344491,6239925029627402121,,,,,231,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,20,0,677.0,,0,6239925029627344495,6239925029627402121,,,,,231,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,2392,0,80969.2,,0,6239925029627391292,6239925029627402121,,,,,157,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,4293,0,145318.05000000002,,0,6239925029627391297,6239925029627402121,,,,,157,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,78,0,2640.3,,0,6239925029627403933,6239925029627402121,,,,,361,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,330,,11170.5,,0,6239925029627387989,6239925029627402121,,09:17:01,37.690,330,203,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,1167,0,39502.950000000004,,0,6239925029627402051,6239925029627402121,,,,,338,130
BHP,20130205,10:00:00.055000,TRADE,33.850,500,0,16925.0,,0,Algorithmic1,6239925029627402121,,,,,Algorithmic,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,150,0,5077.5,,0,6239925029627346432,6239925029627402121,,,,,140,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,135,0,4569.75,,0,6239925029627377248,6239925029627402121,,,,,140,130
BHP,2013-03-01,10:00:00.055000,TRADE,33.850,751,0,25421.350000000002,,0,6239925029627388664,6239925029627402121,,,,,412,130
