date	close
10:13:45.737000	-561.28
10:13:45.737000	-1754.68
10:13:45.737000	-3509.68
10:13:45.737000	-5264.68
10:13:45.737000	-4703.56
10:13:45.737000	-3511.18
10:13:45.737000	-1757.68
10:13:45.737000	-4.18
10:32:30.205000	-1762.18
10:32:30.205000	-2148.94
10:32:30.205000	-2746.66
10:32:30.205000	-3520.18
10:32:30.205000	-5278.18
10:32:35.111000	-5067.28
10:32:35.111000	-3520.68
10:32:35.111000	-1763.18
10:32:35.111000	-5.68
10:33:12.687000	-1763.18
10:34:12.686000	-3520.68
10:34:57.164000	-5278.18
10:36:34.059000	-3520.68
10:36:34.059000	-1763.18
10:36:34.059000	-5.68
10:47:52.062000	-1585.18
10:47:52.062000	-1760.73
10:47:52.062000	-3516.23
10:47:52.062000	-5271.73
10:48:54.866000	-7026.73
10:48:54.866000	-8149.93
10:48:54.866000	-8430.73
10:48:54.866000	-8465.83
10:48:54.866000	-8781.82
10:48:54.866000	-10537.32
10:48:54.866000	-12292.82
10:48:54.866000	-14048.32
10:56:27.324000	-12289.82
10:56:27.324000	-10531.32
10:56:27.466000	-8772.82
10:56:28.485000	-7014.32
10:56:28.664000	-6521.94
10:56:28.664000	-5255.82
10:56:28.704000	-5220.64
10:56:28.704000	-3497.31
10:56:28.704000	-1738.81
10:56:32.834000	20.19
11:05:44.016000	-1743.81
11:05:44.016000	19.19
11:09:04.044000	-1743.31
11:09:04.044000	18.69
11:12:24.094000	-1742.81
11:12:24.094000	18.19
11:15:44.123000	-1745.31
11:15:44.123000	17.69
11:19:04.225000	-1743.81
11:19:04.225000	17.19
11:23:04.253000	-1747.81
11:23:04.253000	16.69
11:26:24.278000	-18.59
11:26:24.278000	-194.99
11:26:24.278000	-1359.23
11:26:24.278000	-1465.07
11:26:24.278000	-1747.31
11:26:24.278000	-2311.79
11:26:24.278000	-3511.31
11:26:24.278000	-5204.75
11:26:24.278000	-5275.31
11:26:24.278000	-7039.31
11:26:24.278000	-7004.04
11:26:24.278000	-6827.69
11:26:24.278000	-5663.78
11:26:24.278000	-5557.97
11:26:24.278000	-5275.81
11:26:24.278000	-4711.49
11:26:24.278000	-3512.31
11:26:24.278000	-1819.35
11:26:24.278000	-1748.81
11:26:24.278000	14.69
11:29:44.304000	-1750.31
11:29:44.304000	-3515.31
11:29:44.304000	-5280.31
11:29:44.304000	-3516.31
11:29:44.304000	-1752.31
11:29:44.304000	11.69
11:33:04.337000	-1752.81
11:33:04.337000	-3517.31
11:33:04.337000	-1753.31
11:33:04.337000	10.69
11:36:24.375000	-1754.31
11:36:24.375000	-3519.31
11:36:24.375000	-1754.81
11:36:24.375000	9.69
11:39:44.391000	-1756.81
11:39:44.391000	9.19
11:43:04.418000	-1758.81
11:43:04.418000	-3526.81
11:43:04.418000	-5294.81
11:43:04.418000	-7062.81
11:43:04.418000	-5295.81
11:43:04.418000	-3528.81
11:43:04.418000	-1761.81
11:43:04.418000	5.19
11:43:24.563000	-1762.31
11:43:24.563000	4.69
11:46:44.447000	-1762.31
11:46:44.447000	3.69
11:48:46.433000	-384.72
11:48:46.433000	-1762.2
11:48:46.433000	-3528.2
11:48:46.433000	-5294.2
11:48:46.433000	-7060.2
11:48:46.433000	-8826.2
11:48:46.433000	-10592.2
11:48:46.433000	-12358.2
11:48:46.433000	-14124.2
11:48:46.433000	-13665.3
11:48:46.433000	-13135.8
11:48:46.433000	-13100.5
11:48:46.433000	-12359.2
11:48:46.433000	-10594.2
11:48:46.433000	-8829.2
11:48:46.433000	-7064.2
11:48:46.433000	-5299.2
11:48:46.433000	-3534.2
11:48:46.433000	-3145.9
11:48:46.433000	-2334.0
11:48:46.433000	-1769.2
11:48:46.433000	-4.2
11:50:04.477000	-145.44
11:50:04.477000	-604.47
11:50:04.477000	-1770.03
11:50:04.477000	-1628.83
11:50:04.477000	-1169.93
11:50:04.477000	-5.03
11:53:24.494000	-1773.53
11:53:24.494000	-5.53
11:56:44.518000	-1774.03
11:56:44.518000	-6.03
12:00:04.540000	-1772.53
12:00:04.540000	-3468.37
12:00:04.540000	-3539.03
12:00:04.540000	-1773.03
12:00:04.540000	-77.67
12:00:04.540000	-7.03
12:03:24.568000	-1776.03
12:03:24.568000	-7.53
12:07:04.603000	-1774.53
12:07:04.603000	-997.38
12:07:04.603000	-8.42
12:10:24.624000	-1772.92
12:10:24.624000	-3537.42
12:10:24.624000	-1773.42
12:10:24.624000	-9.42
12:11:29.076000	-1773.92
12:11:29.076000	-3538.42
12:11:29.076000	-5302.92
12:11:29.076000	-7067.42
12:11:29.076000	-8831.92
12:11:29.076000	-10596.42
12:11:29.076000	-12360.92
12:11:29.076000	-14125.42
12:11:29.076000	-14266.58
12:11:29.076000	-14972.38
12:11:29.076000	-15042.96
12:11:29.076000	-15889.92
12:11:29.076000	-16101.66
12:11:29.076000	-17654.42
12:11:29.076000	-15891.92
12:11:29.076000	-14129.42
12:11:29.076000	-12366.92
12:11:29.076000	-10604.42
12:11:29.076000	-8841.92
12:11:29.076000	-7079.42
