date	ourPrice	actualPrice
10:05:00.636000	35.000	35.000
10:05:00.636000	35.000	35.000
10:05:00.636000	35.000	35.000
10:05:00.636000	35.000	35.010
10:05:00.637000	35.010	35.010
10:05:00.657000	35.010	35.010
10:05:00.657000	35.010	35.010
10:05:00.731000	35.020	35.010
10:05:04.437000	34.860	35.010
10:05:04.437000	34.860	35.010
10:05:06.400000	34.860	35.020
10:05:06.400000	34.860	35.020
10:05:06.400000	34.860	35.020
10:05:06.400000	34.860	35.020
10:05:06.400000	34.860	35.020
10:05:06.710000	35.020	35.020
10:05:14.363000	35.020	35.020
10:05:14.621000	35.020	35.020
10:05:15.257000	35.020	35.020
10:05:17.704000	35.000	35.020
10:05:17.704000	35.000	35.020
10:05:17.704000	35.000	35.020
10:05:17.704000	35.000	35.010
10:05:17.982000	35.020	35.010
10:05:22.946000	35.020	35.010
10:05:22.946000	35.020	35.010
10:05:22.946000	35.020	35.015
10:05:22.958000	35.010	35.015
10:05:22.958000	35.010	35.015
10:05:22.958000	35.010	35.015
10:05:22.958000	35.010	35.015
10:05:25.397000	35.000	35.015
10:05:25.397000	35.000	35.010
10:05:29.521000	35.000	35.020
10:05:29.521000	35.000	35.020
10:05:29.521000	35.000	35.020
10:05:29.521000	35.000	35.020
10:05:29.521000	35.000	35.020
10:05:29.521000	35.000	35.020
10:05:29.522000	35.000	35.020
10:05:29.522000	35.000	35.020
10:05:29.772000	35.020	35.020
10:05:29.772000	35.020	35.020
10:05:30.116000	35.020	35.020
10:05:30.730000	35.020	35.020
10:05:31.077000	35.020	35.020
10:05:38.801000	35.020	35.020
10:05:40.377000	35.020	35.020
10:05:40.377000	35.020	35.020
10:05:40.377000	35.020	35.020
10:05:40.377000	35.020	35.020
10:05:40.377000	35.020	35.020
10:05:40.377000	35.020	35.020
10:05:40.377000	35.020	35.020
10:05:40.377000	35.020	35.020
10:05:43.785000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.020
10:05:47.360000	35.010	35.010
10:05:47.360000	35.010	35.010
10:05:47.360000	35.010	35.010
10:05:47.360000	35.010	35.010
10:05:47.360000	35.010	35.010
10:05:47.360000	35.010	35.010
10:05:47.360000	35.010	35.010
10:05:47.374000	35.010	35.015
10:05:47.515000	35.010	35.015
10:05:47.515000	35.010	35.015
10:05:47.697000	35.010	35.020
10:05:47.697000	35.010	35.020
10:05:47.902000	35.020	35.020
10:05:53.413000	35.020	35.020
10:05:53.413000	35.020	35.020
10:05:53.413000	35.020	35.020
10:05:54.323000	35.030	35.020
10:05:54.323000	35.030	35.020
10:05:54.323000	35.030	35.020
10:05:54.323000	35.030	35.030
10:05:55.534000	35.030	35.030
10:05:59.772000	35.030	35.030
10:05:59.772000	35.030	35.030
10:05:59.816000	35.030	35.030
10:05:59.816000	35.030	35.030
10:05:59.817000	35.030	35.030
10:05:59.817000	35.030	35.030
10:05:59.817000	35.030	35.030
10:06:00.910000	35.030	35.030
10:06:00.911000	35.030	35.030
10:06:00.911000	35.030	35.030
10:06:00.911000	35.030	35.030
10:06:00.911000	35.030	35.030
10:06:00.911000	35.030	35.030
10:06:00.911000	35.030	35.030
10:06:00.911000	35.030	35.030
10:06:01.088000	35.030	35.030
10:06:01.097000	35.030	35.030
10:06:01.937000	35.040	35.030
10:06:01.937000	35.040	35.030
10:06:01.937000	35.040	35.040
10:06:01.937000	35.040	35.040
10:06:01.937000	35.040	35.040
10:06:01.937000	35.040	35.040
10:06:01.937000	35.040	35.040
10:06:01.937000	35.040	35.040
10:06:01.937000	35.040	35.040
10:06:01.937000	35.040	35.050
10:06:01.937000	35.040	35.050
10:06:02.570000	35.030	35.050
10:06:02.570000	35.030	35.050
10:06:02.570000	35.030	35.030
10:06:05.551000	35.060	35.030
10:06:05.621000	35.050	35.030
10:06:05.621000	35.050	35.050
10:06:05.713000	35.050	35.050
10:06:05.713000	35.050	35.050
10:06:05.809000	35.050	35.050
10:06:05.809000	35.050	35.050
10:06:05.874000	35.060	35.050
10:06:05.874000	35.060	35.060
10:06:07.868000	35.060	35.060
10:06:12.330000	35.060	35.060
10:06:17.022000	35.060	35.040
10:06:17.022000	35.060	35.040
10:06:18.160000	35.050	35.040
10:06:18.441000	35.050	35.040
10:06:18.441000	35.050	35.050
10:06:24.346000	35.050	35.050
10:06:34.133000	35.040	35.050
10:06:34.133000	35.040	35.050
10:06:34.145000	35.040	35.050
10:06:34.145000	35.040	35.050
10:06:34.145000	35.040	35.040
10:06:42.152000	35.040	35.040
