Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","1212","0","42420","","0","6241033612226097095","","B","","","","147",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","597","0","20895","","0","6241033612226097107","","B","","","","147",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","152","0","5320","","0","6241033612226097110","","B","","","","147",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","294","0","10290","","0","6241033612226097125","","B","","","","147",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","585","0","20475","","0","6241033612226097129","","B","","","","147",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","289","0","10115","","0","6241033612226097133","","B","","","","147",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","578","0","20230","","0","6241033612226097141","","B","","","","147",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","571","0","19985","","0","6241033612226097143","","B","","","","147",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","540","0","18900","","0","6241033612226097147","","B","","","","147",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","500","0","17500","","0","6241033612226098994","","B","","","","406",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","500","0","17500","","0","6241033612226108251","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","220","0","7700","","0","6241033612226334797","","B","","","","244",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","430","0","15050","","0","6241033612226402165","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","600","0","21000","","0","6241033612226578619","","B","","","","147",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","570","0","19950","","0","6241033612226778567","","B","","","","638",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","285","0","9975","","0","6241033612226780378","","B","","","","638",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","100","0","3500","","0","6241033612226782049","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","714","0","24990","","0","6241033612227550973","","B","","","","638",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","1000","0","35000","","0","6241033612227640460","","B","","","","150",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","570","0","19950","","0","6241033612227828095","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","150","0","5250","","0","6241033612227972993","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","230","0","8050","","0","6241033612228183756","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","100","0","3500","","0","6241033612228261291","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","750","0","26250","","0","6241033612228553213","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","300","0","10500","","0","6241508326371344792","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","90","0","3150","","0","6241508326371344951","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","398","0","13930","","0","6241508326371345031","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","6000","0","210000","","0","6241508326371345437","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","20","0","700","","0","6241508326371345446","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","15","0","525","","0","6241508326371345473","","B","","","","122",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","1000","0","35000","","0","6241508326371346329","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","200","0","7000","","0","6241508326371346371","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","300","0","10500","","0","6241508326371346397","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","60","0","2100","","0","6241508326371346670","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","500","0","17500","","0","6241508326371347354","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","100","0","3500","","0","6241508326371378346","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","27","0","945","","0","6241508326371378818","","B","","","","406",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","27","0","945","","0","6241508326371378827","","B","","","","406",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","27","0","945","","0","6241508326371378834","","B","","","","406",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","27","0","945","","0","6241508326371378872","","B","","","","406",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","100","0","3500","","0","6241508326371388046","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","20","0","700","","0","6241508326371391972","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","1000","0","35000","","0","6241508326371596827","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","100","0","3500","","0","6241508326372202615","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","500","0","17500","","0","6241508326372714281","","B","","","","150",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","1000","0","35000","","0","6241508326373346970","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","28","0","980","","0","6241508326373435339","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","100","0","3500","","0","6241508326373445901","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","1000","0","35000","","0","6241508326373683122","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","1000","0","35000","","0","6241033612226204545","","B","","","","406",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","285","0","9975","","0","6241905250068973206","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","84","0","2940","","0","6241905250068973213","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.000","100","0","3500","","0","6241905250068973253","","B","","","","144",""
